"","Type","Author","Year","Title","Country","Region","Region2","Species.1","Species.2","Species.3","Species.4","Species.5","Species.6","Subthreat.1a","Subthreat.1b","Subthreat.1c","Subthreat.2a","Subthreat.2b","Subthreat.3a","Subthreat.3b","Subthreat.4","Subthreat.5","Threat.1","Threat.2","Threat.3","Threat.4","Threat.5"
"278","Journal Article","K. B. Aubry; J. C. Lewis",2003,"Extirpation and reintroduction of fishers (Pekania pennanti) in Oregon: implications for their conservation in the Pacific states","USA","North America","North America","Pekania pennanti","","","","","","Hunting & trapping terrestrial animals (intentional & unintentional)","Logging & wood harvesting (intentional & unintentional)","","","","","","","","Biological resource use","","","",""
"279","Journal Article","L. Sadlier; I. Montgomery",2004,"The impact of sett disturbance on badger Meles meles numbers; when does protective legislation work?","United Kingdom","Europe & Central Asia","Europe & Central Asia","Meles meles","","","","","","Hunting & trapping terrestrial animals (intentional & unintentional)","","","","","","","","","Biological resource use","","","",""
"280","Journal Article","D. E. Chappell; R. A. Van den Bussche; J. Krizan; B. Patterson",2004,"Contrasting levels of genetic differentiation among populations of wolverines (Gulo gulo) from northern Canada revealed by nuclear and mitochondrial loci","Canada","North America","North America","Gulo gulo","","","","","","Hunting & trapping terrestrial animals (intentional & unintentional)","Logging & wood harvesting (intentional & unintentional)","","","","","","","","Biological resource use","","","",""
"281","Journal Article","J. D. Wright; J. Ernst",2004,"Effects of mid-winter snow depth on stand selection by Wolverines, Gulo gulo luscus, in the boreal forest","Canada","North America","North America","Gulo gulo","","","","","","Logging & wood harvesting (intentional & unintentional)","","","","","","","","","Biological resource use","","","",""
"282","Journal Article","J. Krebs; E. Lofroth; J. Copeland; V. Banci; D. Cooley; H. Golden; A. Magoun; R. Mulders; B. Shults",2004,"Synthesis of survival rates and causes of mortality in North American wolverines","USA / Canada","North America","North America","Gulo gulo","","","","","","Hunting & trapping terrestrial animals (intentional & unintentional)","","","","","","","","","Biological resource use","","","",""
"283","Journal Article","E. Virgos; A. Travaini",2005,"Relationship between small-game hunting and carnivore diversity in central Spain","Spain","Europe & Central Asia","Europe & Central Asia","Meles meles","Martes foina","","","","","Hunting & trapping terrestrial animals (intentional & unintentional)","","","","","","","","","Biological resource use","","","",""
"284","Journal Article","D. M. Burn; A. M. Doroff",2005,"Decline in sea otter (Enhydra lutris) populations along the Alaska Peninsula, 1986-2001","USA","North America","North America","Enhydra lutris","","","","","","Hunting & trapping terrestrial animals (intentional & unintentional)","","","","","","","","","Biological resource use","","","",""
"285","Journal Article","B. E. Saether; S. Engen; J. Persson; H. Broseth; A. Landa; T. Willebrand",2005,"Management strategies for the wolverine in Scandinavia","Scandinavia","Europe & Central Asia","Europe & Central Asia","Gulo gulo","","","","","","Hunting & trapping terrestrial animals (intentional & unintentional)","","","","","","","","","Biological resource use","","","",""
"286","Journal Article","X. Domingo-Roura; J. Marmi; A. Ferrando; F. Lopez-Giraldez; D. W. Macdonald; H. A. H. Jansman",2006,"Badger hair in shaving brushes comes from protected Eurasian badgers","Europe","Europe & Central Asia","Europe & Central Asia","Meles meles","","","","","","Hunting & trapping terrestrial animals (intentional & unintentional)","","","","","","","","","Biological resource use","","","",""
"287","Journal Article","A. R. Solow; A. C. Kitchener; D. L. Roberts; J. D. S. Birks",2006,"Rediscovery of the Scottish polecat, Mustela putorius: Survival or reintroduction?","United Kingdom","Europe & Central Asia","Europe & Central Asia","Mustela putorius","","","","","","Hunting & trapping terrestrial animals (intentional & unintentional)","","","","","","","","","Biological resource use","","","",""
"288","Journal Article","J. Persson; A. Landa; R. Andersen; P. Segerstrom",2006,"Reproductive characteristics of female wolverines (Gulo gulo) in Scandinavia","Scandinavia","Europe & Central Asia","Europe & Central Asia","Gulo gulo","","","","","","Hunting & trapping terrestrial animals (intentional & unintentional)","","","","","","","","","Biological resource use","","","",""
"289","Journal Article","E. L. Koen; J. Bowman; C. S. Findlay",2007,"Fisher survival in eastern Ontario","USA / Canada","North America","North America","Pekania pennanti","","","","","","Hunting & trapping terrestrial animals (intentional & unintentional)","Logging & wood harvesting (intentional & unintentional)","","","","","","","","Biological resource use","","","",""
"290","Journal Article","E. C. Lofroth; P. K. Ott",2007,"Assessment of the sustainability of wolverine harvest in British Columbia, Canada","Canada","North America","North America","Gulo gulo","","","","","","Hunting & trapping terrestrial animals (intentional & unintentional)","","","","","","","","","Biological resource use","","","",""
"291","Journal Article","K. B. Aubry; K. S. McKelvey; J. P. Copeland",2007,"Distribution and broadscale habitat relations of the wolverine in the contiguous United States","USA","North America","North America","Gulo gulo","","","","","","Hunting & trapping terrestrial animals (intentional & unintentional)","","","","","","","","","Biological resource use","","","",""
"292","Journal Article","D. Freitas; J. Gomes; T. S. Luis; L. Madruga; C. Marques; G. Baptista; L. M. Rosalino; P. Antunes; R. Santos; M. Santos-Reis",2007,"Otters and fish farms in the Sado estuary: ecological and socio-economic basis of a conflict","Portugal","Europe & Central Asia","Europe & Central Asia","Lutra lutra","","","","","","Fishing & harvesting aquatic resources (intentional & unintentional)","","","","","","","","","Biological resource use","","","",""
"293","Journal Article","G. Godbout; J. P. Ouellet",2008,"Habitat selection of American marten in a logged landscape at the southern fringe of the boreal forest","Canada","North America","North America","Martes americana","","","","","","Logging & wood harvesting (intentional & unintentional)","","","","","","","","","Biological resource use","","","",""
"294","Journal Article","V. E. Sidorovich; I. A. Solovej; A. A. Sidorovich; Rotenko, II",2008,"Effect of felling on the distribution of rodents and their predators in a transitional mixed forest","Belarus","Europe & Central Asia","Europe & Central Asia","Martes martes","","","","","","Logging & wood harvesting (intentional & unintentional)","","","","","","","","","Biological resource use","","","",""
"295","Journal Article","P. A. Lancaster; J. Bowman; B. A. Pond",2008,"Fishers, farms, and forests in eastern North America","Canada","North America","North America","Pekania pennanti","","","","","","Hunting & trapping terrestrial animals (intentional & unintentional)","Logging & wood harvesting (intentional & unintentional)","","","","","","","","Biological resource use","","","",""
